"Country Name","Country Code","Indicator Name","Indicator Code","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Cyprus","CYP","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","3.57785815074","3.21782565805","2.78982978853","4.37814543147","4.57236652218","4.51692827096","4.89221751872","3.61972408141","-2.04084078326","1.38972144404","0.26182748344","-2.38338788871","-5.35717587884","-2.25608961834","0.45","1.4","1.7","1.6",
"Czech Republic","CZE","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","3.03999607631","1.56078155058","3.59913539161","4.79046838054","6.51445447315","7.07041731709","5.51453917148","2.53913962678","-4.70044404759","2.14085360604","1.97303857357","-0.82312412841","-0.53261330422","1.98018979828","4","2.5","2.9","2.9",
"Denmark","DNK","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","0.82321613668","0.46635733737","0.39003229881","2.63895105108","2.43697243973","3.79680044218","0.82447121168","-0.71800878477","-5.08793606054","1.62507641735","1.15225435994","-0.65528069285","-0.48620958466","1.08841956498","1.5","1.9","2","2.1",
"Djibouti","DJI","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","2.04776437491","2.61856239793","3.19995932751","3.82647608789","3.16960115601","4.79986468267","5.10006138735","5.79996261857","4.99950314125","3.5","4.5","4.8","5","6","6.5","7","7.1","7",
"Dominica","DMA","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","0.04470609901","-3.12797523693","4.78566932883","1.26537430572","-0.65844704526","3.74512981918","4.38338602254","6.92282402648","-0.81710947235","0.74361166843","1.02932616782","-1.0771784374","1.69817947811","3.42266741709","-3","4","2","2",
"Dominican Republic","DOM","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","1.80922948836","5.78820731627","-0.25335880985","1.3119582199","9.26275007449","10.67115484068","8.47462478045","3.08264954663","0.95794032406","8.29179154563","2.83491527117","2.62478272565","4.78940735979","7.34765847439","5.56698510557","4.59626206595","3.80088174603","3.88420717537",
"Ecuador","ECU","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","4.01562989958","4.09677665885","2.72287733695","8.21102091734","5.29130826699","4.40352643383","2.19006397225","6.35713059991","0.5664915921","3.52529866894","7.86814091911","5.62990935023","4.58420965482","3.67606511186","-0.56256252303","-2.00142367394","-0.00698765736","0.50066691276",
"Egypt, Arab Rep.","EGY","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","3.53522567763","2.37048910032","3.1934547374","4.09207161125","4.47174447174","6.84383819379","7.08782742681","7.15220293936","4.68504060212","5.13898583216","1.82184437597","2.19184690488","2.10913582818","2.20000000784","4.2","3.8","4.4","4.8",
"El Salvador","SLV","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","1.70893639623","2.34082274763","2.30003827019","1.85053558291","3.56281450102","3.91194864459","3.83976517703","1.27422730111","-3.13304628167","1.36478366727","2.2168356104","1.8809554607","1.84728673149","1.951944153","2.42099814554","2.51265937228","2.64694978328","2.76917267064",
"Equatorial Guinea","GNQ","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","63.37987542573","19.46283403349","13.95525031886","37.998726856","16.74870356195","-4.81154651112","13.12194782166","12.26127589826","-8.0619527254","-1.30013172105","4.99598428467","3.22021044933","-4.84489608635","-3.10735887578","-9.33430665874","2.2711219294","-0.40462831891","-0.19576326166",
"Eritrea","ERI","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","8.75543631333","3.00542865064","-2.65551536422","1.45173436254","2.57444960123","-0.96921637283","1.42682175034","-9.78302974626","3.87650192032","2.19418976921","8.67980038573","7.01710885197","1.33225208526","1.70344117983","0.90234426782","1.95595416099","2.15835051502","2.15832313931",
"Estonia","EST","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","6.35871356595","6.21142761008","7.60720955049","6.15911432711","9.14275239582","10.3","7.7","-5.4","-14.7","2.5","7.6","5.2","1.6","2.89572","2","3","3.5","3.5",
"Ethiopia","ETH","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","8.30130633436","1.51472567973","-2.16135971592","13.57260313133","11.81881067997","10.83472707306","11.45616698967","10.78852168589","8.80255319321","12.5505383289","11.17829624426","8.64781105296","10.49043607255","9.93605966301","10.1677860133","10.24486814101","8.99236168119","8.99441356963",
"Fiji","FJI","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","2","3.2","1","5.3","0.7","1.8439356009","-0.85082246152","1.03252102951","-1.27236757128","3","2.7","1.8","4.6","4.3","4","3.5","3.1","3",
"Finland","FIN","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","2.58145728039","1.68033545045","1.99399617939","3.92608051943","2.78054306409","4.05464079356","5.18536350506","0.72066848741","-8.26903655827","2.9923375022","2.57081774452","-1.4261893596","-1.12119594234","-0.40470029724","-0.1","1.1","1.6","1.5",
"France","FRA","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","1.92808116812","1.13036208216","0.80712316835","2.59585189077","1.63703654329","2.56140400187","2.31011813473","0.09082422363","-2.85403057667","1.87815270092","2.09510074911","0.21502001099","0.74625696924","0.17114303924","1.13517","1.385456","1.5","1.4",
"Gabon","GAB","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","2.1316736253","-0.24903316854","2.2473300115","0.68954305846","3.9007054656","-3.63463743421","6.48662008877","-3.03019169658","-1.19585953508","7.44145313595","6.32649571866","6.50258637837","4.3458529858","4.30000193884","4.119216664","5.10708180675","5.26001904439","5.29560427924",
"Gambia, The","GMB","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","5.80000023582","-3.25000030727","6.86999980286","7.04999993441","-8.79614712848","1.12410106405","3.63102606094","5.73464144846","6.44969525671","6.52463257793","-4.3286805988","5.8622277035","4.80216498095","-0.20099731264","3.9536296142","4.50353155288","5.2603214994","5.2988825329",
"Georgia","GEO","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","4.80544357807","5.47384484867","11.05810255217","5.85733703465","9.59963381914","9.38327962261","12.34399293036","2.31405623285","-3.77577083823","6.25303325999","7.19999356609","6.40000591352","3.31993615559","4.79998089168","2.5","3","4.5","5",
"Germany","DEU","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","1.84321223709","0.0162711525","-0.73333416762","0.70345297077","0.87797265099","3.87926220387","3.38317570931","0.80540480161","-5.56527786269","3.94542519229","3.71781796666","0.61325056577","0.40621747742","1.58040212206","1.53352","1.70213","1.6","1.5",
"Ghana","GHA","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","4","4.49999969929","5.19999998394","5.59999998982","5.90000425051","6.39991241856","4.3485699011","9.14777850643","4.84512190792","7.89797647292","14.04843129988","9.29349211871","7.31250963932","3.98579327696","3.39909940754","5.86430005356","8.15306700605","8.15306910838",
"Greece","GRC","GDP growth, constant 2010 USD","NYGDPMKTPKDZ","","","3.60953712562","3.14235996611","6.53789589144","4.88414073934","1.13303224784","5.74489014241","3.38216348153","-0.43795387948","-4.3604139674","-5.33692361727","-8.86572438163","-6.62052654027","-3.98094130836","0.69027773273","-2.1","-0.9","0.8","1.6",
